啊安多哈尔,a'an'duo'ha'er
可恶的格林奇,ke'wu'de'ge'lin'qi
科乌斯,ke'wu'si
克希利,ke'xi'li
克银野猪,ke'yin'ye'zhu
科卓安蛮锤,ke'zhuo'an'man'chui
柯兹文,ke'zi'wen
科佐克普力克斯布姆,ke'zuo'ke'pu'li'ke'si'bu'mu
肯特洛斯雷德,ken'te'luo'si'lei'de
恐怖梦境巨剑,kong'bu'meng'jing'ju'jian
恐怖图腾的武器,kong'bu'tu'teng'de'wu'qi
恐怖预兆,kong'bu'yu'zhao
恐怖之怒,kong'bu'zhi'nu
恐怖铸造者布隆德,kong'bu'zhu'zao'zhe'bu'long'de
空间撕裂,kong'jian'si'lie
恐惧末日守卫,kong'ju'mo'ri'shou'wei
恐惧深渊束带,kong'ju'shen'yuan'shu'dai
恐惧术,kong'ju'shu
恐惧战马,kong'ju'zhan'ma
空虚心灵之刃,kong'xu'xin'ling'zhi'ren
控制者达尔隆,kong'zhi'zhe'da'er'long
库多克灰须,ku'duo'ke'hui'xu
库尔迪拉织亡者,ku'er'di'la'zhi'wang'zhe
库卡隆督军小萨鲁法尔,ku'ka'long'du'jun'xiao'sa'lu'fa'er
库卡隆先锋营地,ku'ka'long'xian'feng'ying'di
库拉奥涡心,ku'la'ao'wo'xin
骷髅王克尔多,ku'lou'wang'ke'er'duo
库欧图腾,ku'ou'tu'teng
苦痛皇后柯希亚,ku'tong'huang'hou'ke'xi'ya
枯萎衰败,ku'wei'shuai'bai
枯萎言辞,ku'wei'yan'ci
跨梦者瑞恩,kua'meng'zhe'rui'en
快箭,kuai'jian
快手斯皮高戈普,kuai'shou'si'pi'gao'ge'pu
快速打击,kuai'su'da'ji
快速治疗,kuai'su'zhi'liao
快嘴,kuai'zui
狂暴,kuang'bao
狂暴决心,kuang'bao'jue'xin
狂暴者护腕,kuang'bao'zhe'hu'wan
狂暴姿态,kuang'bao'zi'tai
狂愤怒吼,kuang'fen'nu'hou
狂风大作,kuang'feng'da'zuo
矿工玛甘,kuang'gong'ma'gan
狂乱,kuang'luan
狂乱术,kuang'luan'shu
矿脉燃渣科尔,kuang'mai'ran'zha'ke'er
狂热的地狱,kuang're'de'di'yu
狂热者卡里诺弗,kuang're'zhe'ka'li'nuo'fu
狂兽复苏,kuang'shou'fu'su
狂野的阿伦,kuang'ye'de'a'lun
狂野怒火,kuang'ye'nu'huo
旷野哨兵伊兰德拉,kuang'ye'shao'bing'yi'lan'de'la
蝰蛇钉刺,kui'she'ding'ci
蝰蛇守护,kui'she'shou'hu
奎因兰生命之福,kui'yin'lan'sheng'ming'zhi'fu
拉芙尔,la'fu'er
垃圾箱,la'ji'xiang
拉卡萨悲风,la'ka'sa'bei'feng
拉克维的食物,la'ke'wei'de'shi'wu
拉灵顿扎若斯,la'ling'dun'zha'ruo'si
拉玛兰迪的抉择之刃,la'ma'lan'di'de'jue'ze'zhi'ren
拉姆斯登的闪电钉,la'mu'si'deng'de'shan'dian'ding
拉奇,la'qi
拉沙克铁壁,la'sha'ke'tie'bi
拉斯法利血怒,la'si'fa'li'xue'nu
拉托恩的狡诈长剑,la'tuo'en'de'jiao'zha'chang'jian
拉兹图杰,la'zi'tu'jie
莱恩的净化,lai'en'de'jing'hua
莱欧洛克斯,lai'ou'luo'ke'si
莱斯班恩将军,lai'si'ban'en'jiang'jun
来自伊兰特的罗莎莱妮,lai'zi'yi'lan'te'de'luo'sha'lai'ni
兰德鲁的礼物,lan'de'lu'de'li'wu
蓝顿度拿温,lan'dun'du'na'wen
懒惰的苦工,lan'duo'de'ku'gong
兰铎的小拆,lan'duo'de'xiao'chai
拦截,lan'jie
褴褛的鬼雾衬肩,lan'lv'de'gui'wu'chen'jian
兰萨斯暗日,lan'sa'si'an'ri
蓝色山羊皮软靴,lan'se'shan'yang'pi'ruan'xue
兰瑟影月,lan'se'ying'yue
岚托阿贝图,lan'tuo'a'bei'tu
蓝叶薯,lan'ye'shu
蓝钻魔杖,lan'zuan'mo'zhang
浪潮风暴图腾,lang'chao'feng'bao'tu'teng
狼吞虎咽,lang'tun'hu'yan
狼血阿扎拉克,lang'xue'a'zha'la'ke
老兵伯顿,lao'bing'bo'dun
老兵的鬼纹腰带,lao'bing'de'gui'wen'yao'dai
老兵千战,lao'bing'qian'zhan
老骨头,lao'gu'tou
老猎手斯维福特,lao'lie'shou'si'wei'fu'te
老妪戈萨,lao'yu'ge'sa
雷布拉特碎地者,lei'bu'la'te'sui'di'zhe
雷德尔,lei'de'er
雷德之眼,lei'de'zhi'yan
雷加大地之怒,lei'jia'da'di'zhi'nu
雷克萨,lei'ke'sa
雷克瓦傲角,lei'ke'wa'ao'jiao
雷矛勋章,lei'mao'xun'zhang
雷姆洛斯的恩赐,lei'mu'luo'si'de'en'ci
雷普利缚法,lei'pu'li'fu'fa
雷首角鹰兽,lei'shou'jiao'ying'shou
雷霆风暴,lei'ting'feng'bao
雷霆挑战,lei'ting'tiao'zhan
雷霆武器,lei'ting'wu'qi
雷霆崖,lei'ting'ya
雷霆一击,lei'ting'yi'ji
雷霆之怒逐风者祝福之剑,lei'ting'zhi'nu'zhu'feng'zhe'zhu'fu'zhi'jian
雷霆祝福者艾丽恩,lei'ting'zhu'fu'zhe'ai'li'en
冷锋,leng'feng
冷骨头,leng'gu'tou
棱光聚焦魔杖,leng'guang'ju'jiao'mo'zhang
冷酷,leng'ku
冷酷的基诺,leng'ku'de'ji'nuo
冷酷之触雷图酷,leng'ku'zhi'chu'lei'tu'ku
冷射,leng'she
冷血,leng'xue
莉巴沃布博克,li'ba'wo'bu'bo'ke
砺风者依克西,li'feng'zhe'yi'ke'xi
历经沧桑,li'jing'cang'sang
丽蕾恩泽斯维琪,li'lei'en'ze'si'wei'qi
力量祝福,li'liang'zhu'fu
黎明的恩惠,li'ming'de'en'hui
黎明杀手蕾萝拉,li'ming'sha'shou'lei'luo'la
黎明守护者,li'ming'shou'hu'zhe
黎明行者丝丽雅,li'ming'xing'zhe'si'li'ya
力劈,li'pi
利若杰克因斯,li'ruo'jie'ke'yin'si
黎莎拉鸦箭,li'sha'la'ya'jian
历史学家费伦娜,li'shi'xue'jia'fei'lun'na
里斯罗格兰德领事,li'si'luo'ge'lan'de'ling'shi
莉希斯匹兹弗拉特,li'xi'si'pi'zi'fu'la'te
理智失控,li'zhi'shi'kong
联合前线,lian'he'qian'xian
炼金师菲肯斯坦,lian'jin'shi'fei'ken'si'tan
炼金术士之石,lian'jin'shu'shi'zhi'shi
联盟护符,lian'meng'hu'fu
涟漪,lian'yi
亮须波瑞斯,liang'xu'bo'rui'si
獠牙,liao'ya
獠牙治愈者简祖,liao'ya'zhi'yu'zhe'jian'zu
猎豹美态,lie'bao'mei'tai
猎盗者诺伦,lie'dao'zhe'nuo'lun
猎户步枪,lie'hu'bu'qiang
裂化,lie'hua
烈火盛宴,lie'huo'sheng'yan
裂颅者伽托克,lie'lu'zhe'jia'tuo'ke
裂颅者柯兹克,lie'lu'zhe'ke'zi'ke
猎人印记,lie'ren'yin'ji
烈日纹章胸铠,lie'ri'wen'zhang'xiong'kai
猎杀收货人,lie'sha'shou'huo'ren
猎食者手套,lie'shi'zhe'shou'tao
裂蹄库尔,lie'ti'ku'er
烈焰短笛,lie'yan'duan'di
烈焰风暴,lie'yan'feng'bao
烈焰世界,lie'yan'shi'jie
烈焰术士达芬斯,lie'yan'shu'shi'da'fen'si
烈焰碎片,lie'yan'sui'pian
烈焰吞噬,lie'yan'tun'shi
烈焰之怒,lie'yan'zhi'nu
烈焰之眼,lie'yan'zhi'yan
猎夜者奥斯腾,lie'ye'zhe'ao'si'teng
猎鹰泰勒,lie'ying'tai'le
林安德拉锈影,lin'an'de'la'xiu'ying
林地守卫莱勒,lin'di'shou'wei'lai'le
林地修师阿什隆,lin'di'xiu'shi'a'shen'long
林妮幽诈,lin'ni'you'zha
琳希娅,lin'xi'ya
灵风拂面,ling'feng'fu'mian
灵光乍现,ling'guang'zha'xian
灵魂倒错,ling'hun'dao'cuo
灵魂分裂,ling'hun'fen'lie
灵魂割裂者哈里根,ling'hun'ge'lie'zhe'ha'li'gen
灵魂回归,ling'hun'hui'gui
灵魂觉醒,ling'hun'jue'xing
灵魂联结,ling'hun'lian'jie
灵魂链接,ling'hun'lian'jie
灵魂石,ling'hun'shi
灵魂守卫梅多克,ling'hun'shou'wei'mei'duo'ke
灵魂碎裂,ling'hun'sui'lie
灵魂调和,ling'hun'tiao'he
灵魂统御,ling'hun'tong'yu
灵魂图腾,ling'hun'tu'teng
灵魂武器,ling'hun'wu'qi
灵魂行者卡维杰,ling'hun'xing'zhe'ka'wei'jie
灵魂医者,ling'hun'yi'zhe
灵魂召唤,ling'hun'zhao'huan
灵魂之罐,ling'hun'zhi'guan
灵魂指挥,ling'hun'zhi'hui
灵魂之汤,ling'hun'zhi'tang
灵火魔杖,ling'huo'mo'zhang
凌弱,ling'ruo
灵息魔刃,ling'xi'mo'ren
灵翼保卫者之盾,ling'yi'bao'wei'zhe'zhi'dun
领主本杰明崔曼德森,ling'zhu'ben'jie'ming'cui'man'de'sen
领主维恩大帝,ling'zhu'wei'en'da'di
流沙之回音,liu'sha'zhi'hui'yin
流血,liu'xue
龙偶师米亚,long'ou'shi'mi'ya
龙人之盾,long'ren'zhi'dun
龙息术,long'xi'shu
龙翼战靴,long'yi'zhan'xue
龙族重戒,long'zu'zhong'jie
鲁昂野蹄,lu'ang'ye'ti
鲁比盖姆斯帕克,lu'bi'gai'mu'si'pa'ke
鲁克达拉恐惧之手,lu'ke'da'la'kong'ju'zhi'shou
露拉黑拳,lu'la'hei'quan
鲁林,lu'lin
鲁莽,lu'mang
鲁莽的莎瓦金,lu'mang'de'sha'wa'jin
鲁姆恩,lu'mu'en
鲁妮拉疾风,lu'ni'la'ji'feng
鲁诺姆,lu'nuo'mu
炉石,lu'shi
掠夺,lue'duo
掠夺性嗅觉,lue'duo'xing'xiu'jue
伦道夫莫蒂默,lun'dao'fu'mo'di'mo
伦迪潘,lun'di'pan
轮回,lun'hui
伦鲁迪洛尔上古守护者的手杖,lun'lu'di'luo'er'shang'gu'shou'hu'zhe'de'shou'zhang
洛艾特凶齿,luo'ai'te'xiong'chi
洛丹伦废墟,luo'dan'lun'fei'xu
落毒者辛度佐,luo'du'zhe'xin'du'zuo
洛恩戈鲁裂心之弓,luo'en'ge'lu'lie'xin'zhi'gong
罗恩兄弟,luo'en'xiong'di
洛格什,luo'ge'shen
洛加真射,luo'jia'zhen'she
罗兰菲尼克斯,luo'lan'fei'ni'ke'si
洛纳乌克冰雾,luo'na'wu'ke'bing'wu
罗宁,luo'ning
罗瑞雅姆阿果斯,luo'rui'ya'mu'a'guo'si
洛瑟玛塞隆,luo'se'ma'sai'long
罗特姐妹,luo'te'jie'mei
罗泽摩提斯,luo'ze'mo'ti'si
绿色幼龙护甲,lv'se'you'long'hu'jia
旅途的终结,lv'tu'de'zhong'jie
旅行形态,lv'xing'xing'tai
麻痹,ma'bi
玛迪亚斯肖尔,ma'di'ya'si'xiao'er
玛顿勇炉,ma'dun'yong'lu
麻风女王蕾莎,ma'feng'nv'wang'lei'sha
玛格努斯长桶,ma'ge'nu'si'chang'tong
玛卡爱丁顿,ma'ka'ai'ding'dun
马克格拉恩的干肉,ma'ke'ge'la'en'de'gan'rou
马库斯多米纳,ma'ku'si'duo'mi'na
马拉克西娅维兹维尔,ma'la'ke'xi'ya'wei'zi'wei'er
马里乌斯贾特,ma'li'wu'si'jia'te
玛伦达仁红,ma'lun'da'ren'hong
玛洛督莉,ma'luo'du'li
玛娜明空,ma'na'ming'kong
玛尼月光,ma'ni'yue'guang
玛塔斯拜尔斯,ma'ta'si'bai'er'si
玛维影歌,ma'wei'ying'ge
麦奥玛暗影火石,mai'ao'ma'an'ying'huo'shi
麦德理钝酿,mai'de'li'dun'niang
麦迪逊奥特斯,mai'di'xun'ao'te'si
埋伏,mai'fu
麦须柯顿,mai'xu'ke'dun
漫长寒冬,man'chang'han'dong
蛮熊形态,man'xiong'xing'tai
蛮野怒火,man'ye'nu'huo
盲信,mang'xin
猫形态,mao'xing'tai
贸易亲王加里维克斯,mao'yi'qin'wang'jia'li'wei'ke'si
猫鼬撕咬,mao'you'si'yao
梅拉隐法,mei'la'yin'fa
梅莉尔袭叶,mei'li'er'xi'ye
梅利莎杰拉德,mei'li'sha'jie'la'de
梅扎,mei'zha
闷棍,men'gun
闷烧冲击,men'shao'chong'ji
猛鼻斯尼格,meng'bi'si'ni'ge
猛虎之怒,meng'hu'zhi'nu
梦幻飞行地毯,meng'huan'fei'xing'di'tan
猛击,meng'ji
梦境危机,meng'jing'wei'ji
猛禽马格莱特,meng'qin'ma'ge'lai'te
猛禽一击,meng'qin'yi'ji
猛兽攻击,meng'shou'gong'ji
秘法否定,mi'fa'fou'ding
秘法师雪纳瑟仑,mi'fa'shi'xue'na'se'lun
迷幻,mi'huan
米兰达麦克米泽森,mi'lan'da'mai'ke'mi'ze'sen
米罗丹银歌,mi'luo'dan'yin'ge
米奈希尔战槌,mi'nai'xi'er'zhan'chui
觅邪者皮杰,mi'xie'zhe'pi'jie
觅心者,mi'xin'zhe
觅血者,mi'xue'zhe
觅血者伯姆,mi'xue'zhe'bo'mu
秘银弹派斯雷恩,mi'yin'dan'pai'si'lei'en
免伤锁甲,mian'shang'suo'jia
瞄准射击,miao'zhun'she'ji
灭绝,mie'jue
敏锐的比斯巨兽之眼,min'rui'de'bi'si'ju'shou'zhi'yan
敏锐的萨乌卡,min'rui'de'sa'wu'ka
命令怒吼,ming'ling'nu'hou
命令圣印,ming'ling'sheng'yin
命运,ming'yun
命运之戒,ming'yun'zhi'jie
命运之轮,ming'yun'zhi'lun
命运之手,ming'yun'zhi'shou
魔暴龙皮护腿,mo'bao'long'pi'hu'tui
魔导师奥蕾娜丝,mo'dao'shi'ao'lei'na'si
魔导师拉恩娜,mo'dao'shi'la'en'na
魔导师拉山,mo'dao'shi'la'shan
魔导师瓦尔辛,mo'dao'shi'wa'er'xin
魔导师亚什,mo'dao'shi'ya'shen
莫德里克厉须,mo'de'li'ke'li'xu
魔法导能指环,mo'fa'dao'neng'zhi'huan
魔法反制,mo'fa'fan'zhi
魔法公鸡,mo'fa'gong'ji
魔法护盾,mo'fa'hu'dun
魔法蓝宝石,mo'fa'lan'bao'shi
魔法窃取,mo'fa'qie'qu
魔法驱散,mo'fa'qu'san
魔法肉桂面包,mo'fa'rou'gui'mian'bao
魔法跳跃,mo'fa'tiao'yue
魔法吸收,mo'fa'xi'shou
魔法压制,mo'fa'ya'zhi
魔法抑制,mo'fa'yi'zhi
墨菲尔,mo'fei'er
墨菲华生,mo'fei'hua'sheng
魔钢密语匕首,mo'gang'mi'yu'bi'shou
蘑菇脸麦克吉莉蔻缇,mo'gu'lian'mai'ke'ji'li'kou'ti
魔甲术,mo'jia'shu
魔精大师赞度姆,mo'jing'da'shi'zan'du'mu
魔精女王祖兰尼亚,mo'jing'nv'wang'zu'lan'ni'ya
魔精研磨者焚丹格,mo'jing'yan'mo'zhe'fen'dan'ge
魔精研磨者沙科,mo'jing'yan'mo'zhe'sha'ke
魔精医师金塔,mo'jing'yi'shi'jin'ta
摩卡德利齿,mo'ka'de'li'chi
莫克纳萨迷失披风,mo'ke'na'sa'mi'shi'pi'feng
默里克,mo'li'ke
莫利亮心,mo'li'liang'xin
魔链欧叶檬,mo'lian'ou'ye'meng
魔皮手套,mo'pi'shou'tao
末日,mo'ri
末日板甲护肩,mo'ri'ban'jia'hu'jian
末日板甲护腿,mo'ri'ban'jia'hu'tui
末日板甲护胸,mo'ri'ban'jia'hu'xiong
末日行者,mo'ri'xing'zhe
末日预言者迪乔,mo'ri'yu'yan'zhe'di'qiao
末日之花,mo'ri'zhi'hua
魔誓者马洛维,mo'shi'zhe'ma'luo'wei
魔术师迪姆泽,mo'shu'shi'di'mu'ze
摩斯拉,mo'si'la
莫苏尔召血者,mo'su'er'zhao'xue'zhe
魔铁短斧,mo'tie'duan'fu
魔铁收割者,mo'tie'shou'ge'zhe
莫威平佐,mo'wei'ping'zuo
魔血剔骨者,mo'xue'ti'gu'zhe
魔炎,mo'yan
魔语词典,mo'yu'ci'dian
魔杖专精,mo'zhang'zhuan'jing
魔珠护肩,mo'zhu'hu'jian
穆恩金黑拳,mu'en'jin'hei'quan
穆戈尔,mu'ge'er
穆戈尔的神圣木棒,mu'ge'er'de'shen'sheng'mu'bang
暮光刺客腰带,mu'guang'ci'ke'yao'dai
目光敏锐,mu'guang'min'rui
暮光征服者诺兰,mu'guang'zheng'fu'zhe'nuo'lan
穆库之拳,mu'ku'zhi'quan
暮生阿雷亚,mu'sheng'a'lei'ya
墓穴克拉拉,mu'xue'ke'la'la
墓穴训谕,mu'xue'xun'yu
墓穴茱莉亚,mu'xue'zhu'li'ya
那隆尼,na'long'ni
纳鲁精准腰带,na'lu'jing'zhun'yao'dai
纳鲁之锤,na'lu'zhi'chui
娜米达布坡科斯,na'mi'da'bu'po'ke'si
那萨丹,na'sa'dan
纳萨德斯,na'sa'de'si
纳撒尼尔沃兰,na'sa'ni'er'wo'lan
纳萨诺斯凋零者,na'sa'nuo'si'diao'ling'zhe
拿下,na'xia
纳兹戈克利舌,na'zi'ge'ke'li'she
耐久怒吼,nai'jiu'nu'hou
奈辛威型,nai'xin'wei'xing
南海镇,nan'hai'zhen
难以预料的雷纳,nan'yi'yu'liao'de'lei'na
闹鬼的磨坊,nao'gui'de'mo'fang
能量灌注,neng'liang'guan'zhu
能量水晶,neng'liang'shui'jing
能量仪祭,neng'liang'yi'ji
能人米奇,neng'ren'mi'qi
尼波兹托姆威克斯,ni'bo'zi'tuo'mu'wei'ke'si
你的憎恶伙伴,ni'de'zeng'wu'huo'ban
尼恩亚,ni'en'ya
尼古拉斯梅里克,ni'gu'la'si'mei'li'ke
你机器人,ni'ji'qi'ren
尼卡,ni'ka
尼亚日标,ni'ya'ri'biao
碾压,nian'ya
碾压灵魂,nian'ya'ling'hun
宁静,ning'jing
扭木腰带,niu'mu'yao'dai
扭曲监视者克里达斯,niu'qu'jian'shi'zhe'ke'li'da'si
扭曲信念,niu'qu'xin'nian
扭曲之盾,niu'qu'zhi'dun
怒潮长弓,nu'chao'chang'gong
怒风的灵魂,nu'feng'de'ling'hun
怒风头巾,nu'feng'tou'jin
努丰晓怒,nu'feng'xiao'nu
努格尔汀克弗洛斯特,nu'ge'er'ting'ke'fu'luo'si'te
怒虎,nu'hu
虐待者护臂,nue'dai'zhe'hu'bi
诺格弗格药剂,nuo'ge'fu'ge'yao'ji
诺科赛尔,nuo'ke'sai'er
诺莫瑞根,nuo'mo'rui'gen
诺莫瑞根自动格挡器型,nuo'mo'rui'gen'zi'dong'ge'dang'qi'xing
女猎手科西尼娅,nv'lie'shou'ke'xi'ni'ya
女巫岭的幽灵,nv'wu'ling'de'you'ling
欧肯克罗,ou'ken'ke'luo
欧奈库拉血齿,ou'nai'ku'la'xue'chi
欧扎提,ou'zha'ti
帕比铁疫,pa'bi'tie'yi
帕维克,pa'wei'ke
叛徒国王之死,pan'tu'guo'wang'zhi'si
抛光后的勇气胸甲,pao'guang'hou'de'yong'qi'xiong'jia
炮击,pao'ji
泡沫朔料剑架,pao'mo'shuo'liao'jian'jia
咆哮烈焰,pao'xiao'lie'yan
咆哮者昆根,pao'xiao'zhe'kun'gen
喷涌图腾,pen'yong'tu'teng
砰砰博士,peng'peng'bo'shi
皮崔乌斯洛夫,pi'cui'wu'si'luo'fu
匹克西娅暗雾,pi'ke'xi'ya'an'wu
疲劳诅咒,pi'lao'zu'zhou
劈裂,pi'lie
皮纳塔,pi'na'ta
皮托格,pi'tuo'ge
偏移,pian'yi
漂浮术,piao'fu'shu
飘影者塞布雷,piao'ying'zhe'sai'bu'lei
平衡的觅心者,ping'heng'de'mi'xin'zhe
平原守卫塔罗,ping'yuan'shou'wei'ta'luo
平原行者玛伦,ping'yuan'xing'zhe'ma'lun
平原行者荣恩,ping'yuan'xing'zhe'rong'en
破盾者胡尔,po'dun'zhe'hu'er
破釜沉舟,po'fu'chen'zhou
破坏能手,po'huai'neng'shou
破坏者科沃,po'huai'zhe'ke'wo
破坏者亚泽,po'huai'zhe'ya'ze
破甲,po'jia
破刃手套,po'ren'shou'tao
破碎疆界腰带,po'sui'jiang'jie'yao'dai
破天号,po'tian'hao
破晓者内斯门德,po'xiao'zhe'nei'si'men'de
普格,pu'ge
普拉修,pu'la'xiu
普萝梅萨,pu'luo'mei'sa
启迪者费达拉斯,qi'di'zhe'fei'da'la'si
气定神闲,qi'ding'shen'xian
欺负,qi'fu
奇美拉射击,qi'mei'la'she'ji
启明星吕萨,qi'ming'xing'lv'sa
齐射,qi'she
其实我是塔隆血魔,qi'shi'wo'shi'ta'long'xue'mo
奇斯蒂克斯肖克瓦特,qi'si'di'ke'si'xiao'ke'wa'te
起死回生的图洛夫,qi'si'hui'sheng'de'tu'luo'fu
欺侮,qi'wu
奇袭的斯帕金顿,qi'xi'de'si'pa'jin'dun
琪亚尼德纳拉,qi'ya'ni'de'na'la
欺诈高手,qi'zha'gao'shou
欺诈者库宗,qi'zha'zhe'ku'zong
虔诚赐福,qian'cheng'ci'fu
虔诚的光环石锤,qian'cheng'de'guang'huan'shi'chui
虔诚光环,qian'cheng'guang'huan
谴罚,qian'fa
潜伏课程,qian'fu'ke'cheng
潜伏者阴影路破,qian'fu'zhe'yin'ying'lu'po
千里眼,qian'li'yan
前往阿斯特兰纳,qian'wang'a'si'te'lan'na
潜行,qian'xing
迁跃扭木之棘,qian'yue'niu'mu'zhi'ji
枪打出头鸟,qiang'da'chu'tou'niao
强大的乌弗朗领主,qiang'da'de'wu'fu'lang'ling'zhu
强大的尤尔查,qiang'da'de'you'er'cha
抢匪克劳德布鲁姆,qiang'fei'ke'lao'de'bu'lu'mu
强风,qiang'feng
强风震击,qiang'feng'zhen'ji
强化怒吼,qiang'hua'nu'hou
强化怒气,qiang'hua'nu'qi
强击光环,qiang'ji'guang'huan
抢劫者蹄击,qiang'jie'zhe'ti'ji
强效闪电链,qiang'xiao'shan'dian'lian
强效治疗链,qiang'xiao'zhi'liao'lian
强效治疗术,qiang'xiao'zhi'liao'shu
峭壁猎手霍诺威,qiao'bi'lie'shou'huo'nuo'wei
乔拉齐拉文霍德公爵,qiao'la'qi'la'wen'huo'de'gong'jue
乔纳斯塔根,qiao'na'si'ta'gen
乔希亚国王,qiao'xi'ya'guo'wang
切割,qie'ge
切喉者尤鲁卡,qie'hou'zhe'you'lu'ka
窃取,qie'qu
侵犯外衣,qin'fan'wai'yi
侵犯者高拉,qin'fan'zhe'gao'la
侵略性采夺,qin'lue'xing'cai'duo
侵略性渗透,qin'lue'xing'shen'tou
侵蚀迷雾,qin'shi'mi'wu
侵占者古罗克,qin'zhan'zhe'gu'luo'ke
倾覆,qing'fu
清洁术,qing'jie'shu
清空兽栏,qing'kong'shou'lan
清算,qing'suan
清晰预兆,qing'xi'yu'zhao
酋长的复仇,qiu'zhang'de'fu'chou
酋长萨尔,qiu'zhang'sa'er
屈刃者泰利安,qu'ren'zhe'tai'li'an
驱散魔法,qu'san'mo'fa
去闪金镇报到,qu'shan'jin'zhen'bao'dao
驱邪术,qu'xie'shu
拳击,quan'ji
劝诫者瓦伦,quan'jie'zhe'wa'lun
全神贯注的基尼瓦斯,quan'shen'guan'zhu'de'ji'ni'wa'si
拳手艾昂贝恩,quan'shou'ai'ang'bei'en
群嘲打击,qun'chao'da'ji
群体净化,qun'ti'jing'hua
群体驱散,qun'ti'qu'san
群星之怒法拉,qun'xing'zhi'nu'fa'la
燃烧,ran'shao
燃霜莉特瑞,ran'shuang'li'te'rui
染血的奥金斧,ran'xue'de'ao'jin'fu
热情的欢迎,re'qing'de'huan'ying
人盾,ren'dun
刃风蛮徒伊凡,ren'feng'man'tu'yi'fan
人马无双,ren'ma'wu'shuang
刃手斯皮高戈普,ren'shou'si'pi'gao'ge'pu
刃舞达斯皮恩,ren'wu'da'si'pi'en
日火缠手,ri'huo'chan'shou
日落之塔,ri'luo'zhi'ta
日鸣凯尔斯,ri'ming'kai'er'si
日蚀护腕,ri'shi'hu'wan
熔化,rong'hua
熔化图腾,rong'hua'tu'teng
熔岩爆裂,rong'yan'bao'lie
熔岩钉,rong'yan'ding
熔岩图腾,rong'yan'tu'teng
荣耀者的护腿,rong'yao'zhe'de'hu'tui
肉盾普雷戈伯恩,rou'dun'pu'lei'ge'bo'en
入土,ru'tu
瑞文娜,rui'wen'na
锐眼扬迦,rui'yan'yang'jia
弱敌怒吼,ruo'di'nu'hou
弱肉强食,ruo'rou'qiang'shi
萨弗拉斯拉格纳罗斯之手,sa'fu'la'si'la'ge'na'luo'si'zhi'shou
萨卡拉门戈,sa'ka'la'men'ge
萨卡死眼,sa'ka'si'yan
萨莉娅,sa'li'ya
萨莫斯,sa'mo'si
萨穆格瑞,sa'mu'ge'rui
萨萨里安,sa'sa'li'an
萨斯瓦因,sa'si'wa'yin
萨维斯辛德,sa'wei'si'xin'de
撒种,sa'zhong
塞德瑞克达尔文,sai'de'rui'ke'da'er'wen
赛尔祖,sai'er'zu
塞格,sai'ge
塞拉摩的吉安娜,sai'la'mo'de'ji'an'na
塞蕾卡,sai'lei'ka
塞缪尔哈里逊,sai'miu'er'ha'li'xun
塞纳里奥树林出事了,sai'na'li'ao'shu'lin'chu'shi'le
塞纳留斯的祝福,sai'na'liu'si'de'zhu'fu
塞纳留斯之路,sai'na'liu'si'zhi'lu
塞匹利昂,sai'pi'li'ang
赛瑞佛日纹,sai'rui'fo'ri'wen
塞瑟的石墨鱼竿,sai'se'de'shi'mo'yu'gan
散射,san'she
扫荡铸魔营地,sao'dang'zhu'mo'ying'di
扫荡诅咒教派,sao'dang'zu'zhou'jiao'pai
扫或狙,sao'huo'ju
扫击,sao'ji
瑟尔古德斯蒂尔沃,se'er'gu'de'si'di'er'wo
瑟尔森,se'er'sen
森金村,sen'jin'cun
森林德鲁伊伊兰瑟斯,sen'lin'de'lu'yi'yi'lan'se'si
森林之王伊瓦斯,sen'lin'zhi'wang'yi'wa'si
僧侣马库斯,seng'lv'ma'ku'si
莎妲拉,sha'da'la
沙多克,sha'duo'ke
莎格巨赏崖射,sha'ge'ju'shang'ya'she
沙利文福尔摩斯,sha'li'wen'fu'er'mo'si
杀戮狂潮,sha'lu'kuang'chao
杀戮命令,sha'lu'ming'ling
莎妮斯刃落,sha'ni'si'ren'luo
杀死战利品,sha'si'zhan'li'pin
沙之莫洛瓦,sha'zhi'mo'luo'wa
闪避,shan'bi
善变的席艾兰娜,shan'bian'de'xi'ai'lan'na
闪电超载,shan'dian'chao'zai
闪电盾,shan'dian'dun
闪电反射,shan'dian'fan'she
闪电反射裹手,shan'dian'fan'she'guo'shou
闪电风暴,shan'dian'feng'bao
闪电弧,shan'dian'hu
闪电箭,shan'dian'jian
闪电狂潮,shan'dian'kuang'chao
闪电链,shan'dian'lian
闪击,shan'ji
山丘之王麦格尼,shan'qiu'zhi'wang'mai'ge'ni
闪烁兽,shan'shuo'shou
闪现术,shan'xian'shu
上船前往幽暗城,shang'chuan'qian'wang'you'an'cheng
上古骨弓,shang'gu'gu'gong
上古卫士奥萨斯,shang'gu'wei'shi'ao'sa'si
上古邪恶胫甲,shang'gu'xie'e'jing'jia
上级命令,shang'ji'ming'ling
哨兵格奎恩,shao'bing'ge'kui'en
烧毁,shao'hui
烧尽,shao'jin
哨塔和碉堡,shao'ta'he'diao'bao
少校杜费拉,shao'xiao'du'fei'la
摄取,she'qu
赦兹鲁拉,she'zi'lu'la
深度冻结,shen'du'dong'jie
神恩术,shen'en'shu
深海打捞,shen'hai'da'lao
深红狼牙棒,shen'hong'lang'ya'bang
肾击,shen'ji
